first_name_l,middle_name_l,last_name_l,dob_l,ssn4_l,sex_l,address_l,city_l,state_l,zip_l,phone_l,first_name_r,middle_name_r,last_name_r,dob_r,ssn4_r,sex_r,address_r,city_r,state_r,zip_r,phone_r,label
John,M,Smith,1980-05-12,1234,M,123 Main St,Chicago,IL,60601,3125551234,John,M,Smith,1980-05-12,1234,M,123 Main St,Chicago,IL,60601,3125551234,1
Jonathan,,Smith,1980-05-12,1234,M,123 Main St,Chicago,IL,60601,3125551234,Jon,M,Smith,1980-05-12,1234,M,123 Main St,Chicago,IL,60601,3125551234,1
Maria,Elena,Gonzalez,1975-09-03,5678,F,456 Oak Ave,Chicago,IL,60614,7735552222,Maria,Elena,Gonzales,1975-09-03,5678,F,456 Oak Ave,Chicago,IL,60614,7735552222,1
Robert,J,Johnson,1962-11-21,9012,M,789 Pine Rd,Chicago,IL,60629,3125557777,Robert,,Johnson,1962-11-22,9012,M,789 Pine Rd,Chicago,IL,60629,3125557777,1
Latoya,,Williams,1991-02-14,3456,F,2100 W 18th St,Chicago,IL,60608,3125558899,LaToya,Renee,Williams,1991-02-14,,F,2100 W 18th St,Chicago,IL,60608,3125558899,1
Michael,Anthony,Brown,1955-07-30,7890,M,4400 N Ashland Ave Apt 3B,Chicago,IL,60640,7735551010,Mike,A,Brown,1955-07-30,7890,M,4400 N Ashland Ave,Chicago,IL,60640,,1
Sarah,,Lee,1988-12-01,1357,F,55 E Wacker Dr,Chicago,IL,60601,3125553030,Sarah,K,Lee,1988-12-01,1357,F,1245 N Damen Ave,Chicago,IL,60622,3125553030,1
Carlos,,Rivera,1970-04-17,2468,M,3100 S Kedzie Ave,Chicago,IL,60623,7735554545,Carlos,Antonio,Rivera,1970-04-17,2468,M,3100 South Kedzie Avenue,Chicago,IL,60623,7735554545,1
Aisha,N,Patel,1995-08-25,8642,F,1900 W Polk St,Chicago,IL,60612,3125559191,Aisha,Nadia,Patel,1995-08-25,,F,1900 W Polk Street,Chicago,IL,60612,3125559191,1
James,,O'Brien,1948-03-09,4321,M,221 N Clark St,Chicago,IL,60601,3125550100,James,P,OBrien,1948-03-09,4321,M,221 N Clark St,Chicago,IL,60601,3125550100,1
John,M,Smith,1980-05-12,1234,M,123 Main St,Chicago,IL,60601,3125551234,John,R,Smith,1955-08-30,9999,M,890 Lake Shore Dr,Chicago,IL,60611,7735552020,0
Maria,,Gonzalez,1975-09-03,5678,F,456 Oak Ave,Chicago,IL,60614,7735552222,Maria,,Hernandez,1975-09-03,1111,F,902 W Belmont Ave,Chicago,IL,60657,7735553030,0
Robert,J,Johnson,1962-11-21,9012,M,789 Pine Rd,Chicago,IL,60629,3125557777,Robert,J,Johnson,1990-01-15,2222,M,1234 N State St,Chicago,IL,60610,3125558888,0
Sarah,K,Lee,1988-12-01,1357,F,55 E Wacker Dr,Chicago,IL,60601,3125553030,Sara,K,Lee,1992-04-08,3434,F,55 E Wacker Dr,Chicago,IL,60601,3125553030,0
Carlos,,Rivera,1970-04-17,2468,M,3100 S Kedzie Ave,Chicago,IL,60623,7735554545,Charles,A,Rivers,1970-04-17,6789,M,3101 S Kedzie Ave,Chicago,IL,60623,7735554546,0
Michael,Anthony,Brown,1955-07-30,7890,M,4400 N Ashland Ave,Chicago,IL,60640,7735551010,Michael,Anthony,Brown,1985-07-30,5555,M,4400 N Ashland Ave,Chicago,IL,60640,7735551010,0
Aisha,Nadia,Patel,1995-08-25,8642,F,1900 W Polk St,Chicago,IL,60612,3125559191,Anita,,Patel,1995-08-25,8642,F,1900 W Polk St,Chicago,IL,60612,3125559191,0
James,P,O'Brien Sr,1948-03-09,4321,M,221 N Clark St,Chicago,IL,60601,3125550100,James,P,O'Brien Jr,1972-06-14,8765,M,221 N Clark St,Chicago,IL,60601,3125550101,0
